no_cidade,nota,data_ref
"Fernandópolis","6.8097793679189","2011-12-31"
"Botuporã","5.02713510425593","2011-12-31"
"Regeneração","10","2011-12-31"
"Júlio Mesquita","9.34972859200177","2011-12-31"
"Mostardas","10","2011-12-31"
"Canápolis","7.17741596196727","2011-12-31"
"Maracaí","6.83681836818368","2011-12-31"
"Benjamin Constant","3.1037358970982","2011-12-31"
"Peritoró","0.343117544565072","2011-12-31"
"Caaporã","10","2011-12-31"
"Barretos","5.62558917932806","2011-12-31"
"Palestina","6.70613924582178","2011-12-31"
"Luís Antônio","10","2011-12-31"
"Roncador","5.66129819424109","2011-12-31"
"São Pedro do Sul","9.81193089949791","2011-12-31"
"Barra do Corda","6.2463219840269","2011-12-31"
"Candeias","3.67195023554827","2011-12-31"
"Bom Sucesso","8.42939674862287","2011-12-31"
"Baliza","4.03431175445651","2011-12-31"
"Coromandel","8.23958950069074","2011-12-31"
"Serra dos Aimorés","6.53919225347797","2011-12-31"
"São Domingos do Sul","10","2011-12-31"
"Corumbiara","4.39495699304819","2011-12-31"
"Jucati","6.82743667036861","2011-12-31"
"Guarapuava","5.89635214378189","2011-12-31"
"União de Minas","6.87296782150465","2011-12-31"
"São Francisco de Paula","5.25767703187058","2011-12-31"
"Timon","8.68732419378879","2011-12-31"
"Penaforte","8.2183908045977","2011-12-31"
"Paranatinga","7.3974609375","2011-12-31"
"Monte Alegre do Sul","6.70224255129915","2011-12-31"
"Trairi","7.53837719298246","2011-12-31"
"Tejuçuoca","9.17642882499113","2011-12-31"
"Capela do Alto Alegre","10","2011-12-31"
"Candeias do Jamari","7.73138944113099","2011-12-31"
"Bacabal","0.59232955982478","2011-12-31"
"Inhapim","8.55430978228629","2011-12-31"
